date,E-XGB
1993-07-31,1818.9991
1993-08-31,2017.6984
1993-09-30,1667.2589
1993-10-31,1273.6389
1993-11-30,648.5055
1993-12-31,296.7856
1994-01-31,218.84315
1994-02-28,238.4707
1994-03-31,244.59082
1994-04-30,403.08484
1994-05-31,588.46674
1994-06-30,791.61334
1994-07-31,1345.1322
1994-08-31,1324.5569
1994-09-30,1696.1045
1994-10-31,1665.2069
1994-11-30,719.1856
1994-12-31,320.2339
1995-01-31,197.16731
1995-02-28,218.26268
1995-03-31,270.07123
1995-04-30,499.69806
1995-05-31,757.55597
1995-06-30,941.81323
1995-07-31,1654.772
1995-08-31,2119.5422
1995-09-30,2050.385
1995-10-31,1253.2153
1995-11-30,817.03674
1995-12-31,389.3308
1996-01-31,224.72101
1996-02-29,231.65646
1996-03-31,281.01215
1996-04-30,412.76236
1996-05-31,659.0435
1996-06-30,1194.479
1996-07-31,1595.5854
1996-08-31,1365.5934
1996-09-30,1207.3304
1996-10-31,1097.4124
1996-11-30,583.50037
1996-12-31,292.66672
1997-01-31,246.42221
1997-02-28,231.65646
1997-03-31,261.6147
1997-04-30,499.69806
1997-05-31,814.2798
1997-06-30,1026.7726
1997-07-31,2050.8127
1997-08-31,1484.8131
1997-09-30,1345.9564
1997-10-31,1114.7795
1997-11-30,549.3848
1997-12-31,281.97562
1998-01-31,241.92921
1998-02-28,238.4707
1998-03-31,297.54745
1998-04-30,507.15186
1998-05-31,514.14
1998-06-30,855.64545
1998-07-31,1306.1487
1998-08-31,1705.3098
1998-09-30,1812.0858
1998-10-31,1481.8245
1998-11-30,690.42944
1998-12-31,369.96927
1999-01-31,247.96857
1999-02-28,231.65646
1999-03-31,258.92505
1999-04-30,378.4277
1999-05-31,604.4509
1999-06-30,1562.4352
1999-07-31,2305.96
1999-08-31,1548.9636
1999-09-30,1248.4447
1999-10-31,1176.459
1999-11-30,530.0004
1999-12-31,325.91907
2000-01-31,236.83577
2000-02-29,231.65646
2000-03-31,244.59082
2000-04-30,450.19586
2000-05-31,609.2856
2000-06-30,916.7144
2000-07-31,1093.3457
2000-08-31,808.1234
2000-09-30,1459.8918
2000-10-31,1226.9102
2000-11-30,604.3252
2000-12-31,309.2378
2001-01-31,216.90446
2001-02-28,231.65646
2001-03-31,261.6147
2001-04-30,477.27094
2001-05-31,741.91406
2001-06-30,1159.6554
2001-07-31,1413.161
2001-08-31,1371.206
2001-09-30,1902.3921
2001-10-31,1790.8992
2001-11-30,604.5122
2001-12-31,354.827
2002-01-31,239.6537
2002-02-28,239.473
2002-03-31,285.107
2002-04-30,459.87338
2002-05-31,540.4426
2002-06-30,937.30505
2002-07-31,1684.6495
2002-08-31,1254.7544
2002-09-30,1135.0248
2002-10-31,1024.0408
2002-11-30,496.6904
2002-12-31,250.18454
2003-01-31,202.54878
2003-02-28,224.68156
2003-03-31,218.26268
2003-04-30,368.72385
2003-05-31,572.2364
2003-06-30,821.2295
2003-07-31,1284.9005
2003-08-31,1887.3848
2003-09-30,1901.0167
2003-10-31,1751.8107
2003-11-30,623.74066
2003-12-31,401.88354
2004-01-31,192.1311
2004-02-29,217.7908
2004-03-31,270.2589
2004-04-30,324.20862
2004-05-31,549.76227
2004-06-30,967.049
2004-07-31,1500.9407
2004-08-31,1718.6399
2004-09-30,1816.2709
2004-10-31,1047.8046
2004-11-30,684.2156
2004-12-31,306.33084
2005-01-31,232.93022
2005-02-28,203.72758
2005-03-31,224.93993
2005-04-30,381.5013
2005-05-31,610.6299
2005-06-30,838.1086
2005-07-31,2106.3762
2005-08-31,1995.2249
2005-09-30,1806.7247
2005-10-31,1599.9761
2005-11-30,788.384
2005-12-31,377.68497
2006-01-31,263.83344
2006-02-28,231.65646
2006-03-31,244.59082
2006-04-30,320.74762
2006-05-31,850.0883
2006-06-30,1196.451
2006-07-31,1720.8685
2006-08-31,1534.6334
2006-09-30,1762.9456
2006-10-31,1493.7084
2006-11-30,571.53564
2006-12-31,307.31598
2007-01-31,222.1016
2007-02-28,224.68156
2007-03-31,285.43402
2007-04-30,416.52237
2007-05-31,439.55035
2007-06-30,1097.4868
2007-07-31,2111.7341
2007-08-31,1621.9114
2007-09-30,1530.0758
2007-10-31,1412.4236
2007-11-30,704.027
2007-12-31,346.96548
2008-01-31,222.99922
2008-02-29,231.65646
2008-03-31,272.45563
2008-04-30,395.17358
2008-05-31,647.61
2008-06-30,771.0342
2008-07-31,1253.3141
2008-08-31,1535.1761
2008-09-30,1555.8041
2008-10-31,1593.0521
2008-11-30,727.70966
2008-12-31,350.9193
2009-01-31,225.53358
2009-02-28,231.65646
2009-03-31,257.03125
2009-04-30,456.2865
2009-05-31,593.42615
2009-06-30,1139.9214
2009-07-31,2198.7246
2009-08-31,1918.1315
2009-09-30,2392.4592
2009-10-31,1691.4385
2009-11-30,675.4867
2009-12-31,366.56262
2010-01-31,277.69278
2010-02-28,246.28725
2010-03-31,244.59082
2010-04-30,282.0094
2010-05-31,526.8988
2010-06-30,1069.9148
2010-07-31,2367.8223
2010-08-31,1685.1
2010-09-30,1216.5334
2010-10-31,590.8366
2010-11-30,577.1279
2010-12-31,361.87473
2011-01-31,216.90446
2011-02-28,203.72758
2011-03-31,232.74615
2011-04-30,355.02557
2011-05-31,460.50702
2011-06-30,1053.3071
2011-07-31,1570.1322
2011-08-31,991.8853
2011-09-30,1315.4011
2011-10-31,1267.2153
2011-11-30,645.27966
2011-12-31,284.178
2012-01-31,232.8957
2012-02-29,231.65646
2012-03-31,232.92683
2012-04-30,453.34656
2012-05-31,676.138
2012-06-30,778.8451
2012-07-31,1928.1359
2012-08-31,2167.7341
2012-09-30,1821.0518
2012-10-31,1322.4182
2012-11-30,723.24176
2012-12-31,352.49826
2013-01-31,242.77086
2013-02-28,218.26268
2013-03-31,274.3252
2013-04-30,307.48593
2013-05-31,615.4064
2013-06-30,1060.0679
2013-07-31,2053.768
2013-08-31,1481.0481
2013-09-30,1115.9346
2013-10-31,619.5115
2013-11-30,523.3052
2013-12-31,249.69698
2014-01-31,210.14647
2014-02-28,217.12137
2014-03-31,289.62274
2014-04-30,428.22333
2014-05-31,660.7511
2014-06-30,1268.4266
2014-07-31,1754.1432
2014-08-31,1939.4136
2014-09-30,2182.7908
2014-10-31,1654.3086
2014-11-30,717.3129
2014-12-31,321.08783
2015-01-31,247.47025
2015-02-28,232.49811
2015-03-31,280.86597
2015-04-30,434.578
2015-05-31,722.7957
2015-06-30,1127.0114
2015-07-31,1468.4078
2015-08-31,631.98126
2015-09-30,1144.3121
2015-10-31,1414.6919
2015-11-30,448.84875
2015-12-31,328.6252
2016-01-31,232.8957
2016-02-29,232.49811
2016-03-31,272.33902
2016-04-30,474.19366
2016-05-31,454.7978
2016-06-30,672.738
2016-07-31,804.88416
2016-08-31,754.70795
2016-09-30,1420.0211
2016-10-31,1387.3036
2016-11-30,644.12964
2016-12-31,274.00204
2017-01-31,215.21716
2017-02-28,231.65646
2017-03-31,352.98315
2017-04-30,403.83908
2017-05-31,688.4379
2017-06-30,981.3823
2017-07-31,1197.4939
2017-08-31,1210.0079
2017-09-30,2177.519
2017-10-31,1920.1614
2017-11-30,692.2339
2017-12-31,339.5826
2018-01-31,250.98068
2018-02-28,239.473
2018-03-31,238.4707
2018-04-30,441.0381
2018-05-31,583.9665
2018-06-30,892.1645
2018-07-31,1945.47
2018-08-31,2028.8066
2018-09-30,2554.737
2018-10-31,1258.0261
2018-11-30,676.84705
2018-12-31,353.4939
2019-01-31,265.52014
2019-02-28,239.473
2019-03-31,244.59082
2019-04-30,441.0381
2019-05-31,582.05225
2019-06-30,1338.7402
2019-07-31,2213.2048
2019-08-31,1724.8425
2019-09-30,2267.063
2019-10-31,1738.997
2019-11-30,731.57526
2019-12-31,333.34647
