date,CER-XGB
2008-07-31,873.7735
2008-08-31,1247.3297
2008-09-30,968.2659
2008-10-31,1255.9022
2008-11-30,672.47675
2008-12-31,336.59344
2009-01-31,233.70715
2009-02-28,233.18611
2009-03-31,308.37244
2009-04-30,446.9607
2009-05-31,755.7244
2009-06-30,1118.8191
2009-07-31,1717.4075
2009-08-31,1817.6212
2009-09-30,1820.0927
2009-10-31,1337.2275
2009-11-30,704.4053
2009-12-31,399.1269
2010-01-31,257.77292
2010-02-28,264.69162
2010-03-31,324.68063
2010-04-30,342.89444
2010-05-31,402.4245
2010-06-30,992.8409
2010-07-31,2196.3489
2010-08-31,1141.9789
2010-09-30,874.61035
2010-10-31,639.3941
2010-11-30,466.6214
2010-12-31,249.79326
2011-01-31,192.96327
2011-02-28,173.95946
2011-03-31,222.26271
2011-04-30,375.4908
2011-05-31,478.53128
2011-06-30,1183.5714
2011-07-31,1686.528
2011-08-31,932.87286
2011-09-30,1030.2144
2011-10-31,1217.4673
2011-11-30,655.28516
2011-12-31,344.3873
2012-01-31,247.93231
2012-02-29,245.77202
2012-03-31,315.03796
2012-04-30,547.8812
2012-05-31,838.8259
2012-06-30,1111.6102
2012-07-31,2479.5825
2012-08-31,2579.1409
2012-09-30,1231.4508
2012-10-31,920.54004
2012-11-30,525.7012
2012-12-31,289.45776
2013-01-31,271.69357
2013-02-28,305.22122
2013-03-31,336.97882
2013-04-30,343.17078
2013-05-31,694.1357
2013-06-30,895.2235
2013-07-31,1680.4004
2013-08-31,1283.0945
2013-09-30,899.84125
2013-10-31,706.2329
2013-11-30,418.2168
2013-12-31,219.22798
2014-01-31,188.69714
2014-02-28,191.71936
2014-03-31,236.43773
2014-04-30,349.86816
2014-05-31,456.8764
2014-06-30,995.0399
2014-07-31,1000.79913
2014-08-31,1062.5542
2014-09-30,1581.9763
2014-10-31,1112.7633
2014-11-30,488.87085
2014-12-31,315.8245
2015-01-31,226.69904
2015-02-28,231.32901
2015-03-31,274.4367
2015-04-30,315.9013
2015-05-31,354.64178
2015-06-30,821.3405
2015-07-31,1318.2899
2015-08-31,515.0666
2015-09-30,698.4138
2015-10-31,803.7827
2015-11-30,449.13712
2015-12-31,249.46663
2016-01-31,180.73177
2016-02-29,179.74248
2016-03-31,218.09814
2016-04-30,332.14172
2016-05-31,516.7724
2016-06-30,652.1955
2016-07-31,834.3202
2016-08-31,744.7718
2016-09-30,833.7285
2016-10-31,898.75714
2016-11-30,463.36972
2016-12-31,237.05109
2017-01-31,182.6571
2017-02-28,183.69801
2017-03-31,234.64023
2017-04-30,336.64545
2017-05-31,425.44
2017-06-30,970.3052
2017-07-31,615.9177
2017-08-31,706.3489
2017-09-30,1377.7119
2017-10-31,1712.2716
2017-11-30,747.41785
2017-12-31,346.73743
2018-01-31,222.62103
2018-02-28,194.95506
2018-03-31,240.96944
2018-04-30,443.4179
2018-05-31,851.5464
2018-06-30,1173.2347
2018-07-31,2448.766
2018-08-31,1391.8766
2018-09-30,2273.2302
2018-10-31,1605.803
2018-11-30,739.9886
2018-12-31,386.86258
2019-01-31,302.0635
2019-02-28,305.62613
2019-03-31,322.58087
2019-04-30,579.90594
2019-05-31,832.5901
2019-06-30,1608.5719
2019-07-31,2119.3582
2019-08-31,1529.6255
2019-09-30,1812.9102
2019-10-31,1584.3583
2019-11-30,851.16547
2019-12-31,352.77316
