date,R-XGB
1989-04-30,365.84988
1989-05-31,870.5751
1989-06-30,2334.195
1989-07-31,2333.6458
1989-08-31,1888.1495
1989-09-30,1742.9735
1989-10-31,1209.1543
1989-11-30,682.6776
1989-12-31,350.734
1990-01-31,265.11743
1990-02-28,247.18108
1990-03-31,305.65863
1990-04-30,352.80692
1990-05-31,683.81396
1990-06-30,771.79297
1990-07-31,764.62805
1990-08-31,788.6417
1990-09-30,924.8699
1990-10-31,720.6589
1990-11-30,436.16898
1990-12-31,222.5019
1991-01-31,162.89793
1991-02-28,161.68079
1991-03-31,203.32289
1991-04-30,244.89182
1991-05-31,437.50024
1991-06-30,569.2109
1991-07-31,937.6744
1991-08-31,1214.8679
1991-09-30,827.93945
1991-10-31,719.11676
1991-11-30,440.0494
1991-12-31,220.19244
1992-01-31,161.25528
1992-02-29,140.50375
1992-03-31,200.46294
1992-04-30,363.70825
1992-05-31,488.2471
1992-06-30,803.9156
1992-07-31,1758.1056
1992-08-31,1115.7548
1992-09-30,1097.4369
1992-10-31,1063.3773
1992-11-30,450.06213
1992-12-31,212.5196
1993-01-31,182.46971
1993-02-28,180.19193
1993-03-31,248.02283
1993-04-30,511.4232
1993-05-31,721.8094
1993-06-30,1028.2529
1993-07-31,1516.6519
1993-08-31,1621.0281
1993-09-30,1128.4622
1993-10-31,783.6688
1993-11-30,473.02774
1993-12-31,214.65256
1994-01-31,169.65398
1994-02-28,176.82663
1994-03-31,219.28899
1994-04-30,496.6774
1994-05-31,665.2578
1994-06-30,1166.4725
1994-07-31,1090.691
1994-08-31,700.21857
1994-09-30,692.9811
1994-10-31,586.5294
1994-11-30,362.90213
1994-12-31,184.89273
1995-01-31,148.13763
1995-02-28,153.60791
1995-03-31,192.3568
1995-04-30,412.306
1995-05-31,761.3753
1995-06-30,587.83295
1995-07-31,568.06616
1995-08-31,1050.9786
1995-09-30,1013.6368
1995-10-31,737.6874
1995-11-30,469.69937
1995-12-31,232.629
1996-01-31,159.2028
1996-02-29,154.94879
1996-03-31,213.59956
1996-04-30,322.65988
1996-05-31,565.9379
1996-06-30,831.48145
1996-07-31,781.9593
1996-08-31,762.0256
1996-09-30,692.6823
1996-10-31,648.84906
1996-11-30,377.2728
1996-12-31,198.94539
1997-01-31,137.97452
