date,flow_{t+1},E-CNN
2009-09-30,563.0666666666667,1304.351
2009-10-31,602.3225806451613,979.05133
2009-11-30,640.8999999999999,606.5341
2009-12-31,561.516129032258,339.9894
2010-01-31,531.5806451612904,269.45892
2010-02-28,459.50000000000006,322.54196
2010-03-31,527.3870967741935,378.24625
2010-04-30,878.9,506.23184
2010-05-31,943.741935483871,917.585
2010-06-30,931.5666666666668,1275.3596
2010-07-31,998.4193548387096,2388.4944
2010-08-31,1140.0,1392.2095
2010-09-30,803.5666666666667,1079.3241
2010-10-31,636.2903225806451,862.74634
2010-11-30,588.9,496.8029
2010-12-31,605.3225806451613,333.4196
2011-01-31,583.4516129032259,270.7446
2011-02-28,333.03571428571433,268.44214
2011-03-31,617.0967741935484,346.2204
2011-04-30,822.8999999999999,392.9101
2011-05-31,850.7096774193549,455.31967
2011-06-30,645.6999999999999,806.52313
2011-07-31,619.3225806451613,1208.1482
2011-08-31,632.6129032258065,885.9705
2011-09-30,599.0666666666667,1328.9017
2011-10-31,550.4193548387096,1524.301
2011-11-30,543.2,626.4238
2011-12-31,589.4193548387096,307.40375
2012-01-31,534.0,266.5417
2012-02-29,506.55172413793105,241.98056
2012-03-31,469.03225806451616,303.68402
2012-04-30,606.9,450.0621
2012-05-31,840.8064516129032,717.9773
2012-06-30,831.6666666666666,1059.5597
2012-07-31,1009.6129032258062,2005.1602
2012-08-31,1457.7096774193549,2038.0543
2012-09-30,916.2666666666668,1539.2709
2012-10-31,808.741935483871,1108.554
2012-11-30,704.9666666666666,641.2206
2012-12-31,572.7741935483871,323.46436
2013-01-31,642.4516129032259,272.14883
2013-02-28,519.1071428571429,260.10165
2013-03-31,614.5483870967741,381.8808
2013-04-30,755.1333333333333,392.22433
2013-05-31,827.5483870967741,550.8018
2013-06-30,782.6,1062.8108
2013-07-31,707.4516129032259,1405.0605
2013-08-31,781.741935483871,1004.8433
2013-09-30,656.4333333333333,870.25995
2013-10-31,575.483870967742,716.97784
2013-11-30,662.7333333333333,484.8456
