YQ,natural_flow,VIF_MLR,VIF_LSTM,VIF_LSTM_MLR,VIF_XGB,VIF_BILSTM,VIF_CNN,CER-XGB,CER-LSTM,CER-BILSTM,CER-CNN,CER-MLR,CER-BiLSTM
2001-2,855,681.8675721117319,672.41896,676.9673333333334,692.7850433333333,690.1159666666667,908.52071,692.7850433333333,672.41896,690.1159666666667,908.5207100000001,681.8675721117319,690.1159666666667
2001-3,608,693.263718446423,666.35506,703.7248066666666,658.2786,699.4814066666667,754.4736333333334,658.2786,666.35506,699.4814066666667,754.4736333333334,693.263718446423,699.4814066666667
2001-4,187,155.38504909144632,148.09712666666667,152.87959272676366,162.48248,156.65182666666666,196.32162,162.48248,148.09712666666667,156.65182666666666,196.32162000000002,155.38504909144632,156.65182666666666
2002-1,395,257.54395159453406,257.43602333333337,254.63118081948448,251.70315,261.7979,389.18169000000006,251.70315000000002,257.43602333333337,261.7979,389.18169000000006,257.54395159453406,261.79789999999997
2002-2,900,722.9336076686546,704.8496866666668,707.42819,790.7804666666667,725.6870666666667,871.61408,790.7804666666667,704.8496866666668,725.6870666666667,871.61408,722.9336076686546,725.6870666666667
2002-3,640,346.28259302204737,356.2962033333333,334.3246843151905,380.4224766666667,350.0592733333333,536.6855533333334,380.4224766666667,356.2962033333333,350.0592733333333,536.6855533333334,346.28259302204737,350.05927333333335
2002-4,196,160.1065734844725,159.31595666666666,161.74726178303732,184.95468,161.81847000000002,209.97691,184.95467999999997,159.31595666666666,161.81847000000002,209.97691,160.1065734844725,161.81847000000002
2003-1,410,273.2977897115817,268.7841933333333,261.0734171982704,270.65236,275.75871,371.69958,270.65236,268.78419333333335,275.75871,371.69957999999997,273.2977897115817,275.75871
2003-2,943,871.6263783222497,844.6332766666668,854.3000999999999,927.3339133333334,861.20889,991.6835,927.3339133333334,844.6332766666668,861.20889,991.6835000000001,871.6263783222497,861.20889
2003-3,663,1008.1081623904828,1016.79422,1020.8261133333334,969.5986066666666,1011.8618733333332,1154.2741666666668,969.5986066666666,1016.7942199999999,1011.8618733333332,1154.2741666666668,1008.1081623904828,1011.8618733333333
