date,flow,CER-BiLSTM
1985-01-31,204.00238948626043,193.05869
1985-02-28,182.0023148148148,197.49084
1985-03-31,228.0092592592593,252.585
1985-04-30,330.0154320987654,362.6326
1985-05-31,426.0005973715651,431.55258
1985-06-30,652.0061728395061,657.00824
1985-07-31,1300.0298685782557,1272.2834
1985-08-31,971.1021505376344,1041.1161
1985-09-30,2380.0154320987654,2364.4658
1985-10-31,1189.889486260454,1321.1506
1985-11-30,516.9753086419753,523.60944
1985-12-31,272.9988052568698,260.27072
1986-01-31,206.0185185185185,195.21683
1986-02-28,196.01521164021165,196.60045
1986-03-31,229.01732377538826,243.11023
1986-04-30,328.0092592592593,370.89093
1986-05-31,823.9994026284348,838.0475
1986-06-30,1099.9228395061727,1120.4286
1986-07-31,1580.047789725209,1742.311
1986-08-31,717.9659498207885,801.1494
1986-09-30,996.9135802469137,1108.8093
1986-10-31,377.0908004778972,680.5693
1986-11-30,18.80015432098765,374.04794
1986-12-31,15.098566308243731,235.4527
1987-01-31,12.89949223416966,175.3444
1987-02-28,307.00231481481484,188.25458
1987-03-31,599.9850657108722,221.53969
1987-04-30,355.0154320987654,282.8759
1987-05-31,427.12066905615296,544.62665
1987-06-30,643.1327160493828,1150.4373
1987-07-31,809.0651135005974,1685.8594
1987-08-31,853.1212664277182,1112.3059
1987-09-30,333.9891975308642,704.0769
1987-10-31,234.99103942652332,605.01385
1987-11-30,226.00308641975306,360.34006
1987-12-31,375.97072879330943,210.22298
1988-01-31,321.0125448028674,169.43304
1988-02-29,415.07024265644964,169.6759
1988-03-31,484.99103942652323,240.59744
1988-04-30,339.0046296296297,335.3356
1988-05-31,449.14874551971326,409.008
1988-06-30,493.0555555555555,819.0234
1988-07-31,700.0448028673835,865.7136
1988-08-31,554.0621266427718,605.7655
1988-09-30,581.0185185185185,800.83514
1988-10-31,604.8387096774194,1288.3396
1988-11-30,542.0524691358024,693.5204
1988-12-31,477.15053763440864,257.10852
1989-01-31,653.0017921146953,169.04951
1989-02-28,457.1759259259259,191.06667
1989-03-31,443.9217443249702,293.63397
1989-04-30,420.9104938271605,393.72324
1989-05-31,676.1499402628435,831.08453
1989-06-30,770.8333333333334,2431.1677
1989-07-31,997.9838710000001,2040.2871
1989-08-31,1810.0358422939069,1823.3112
1989-09-30,1841.4351851851848,1747.0911
1989-10-31,831.0931899641577,1186.6658
1989-11-30,520.4475308641976,666.5783
1989-12-31,433.09438470728793,323.1932
1990-01-31,617.1594982078853,233.36513
1990-02-28,622.5198412698413,241.15239
1990-03-31,676.8966547192354,297.84518
1990-04-30,680.1697530864197,374.75146
1990-05-31,1070.041816009558,689.7656
1990-06-30,986.8827160493828,799.61194
1990-07-31,756.0483870967741,808.1046
1990-08-31,735.8870967741935,841.95074
1990-09-30,652.0061728395061,991.1414
1990-10-31,611.1857825567503,751.22864
1990-11-30,488.81172839506166,452.81403
1990-12-31,589.9044205495818,222.52621
1991-01-31,588.0376344086021,153.06421
1991-02-28,558.0357142857143,162.32079
1991-03-31,608.9456391875746,211.79582
1991-04-30,496.9135802469136,250.57042
1991-05-31,574.9701314217443,464.70178
1991-06-30,716.0493827160493,572.4058
1991-07-31,854.9880525686978,818.58
1991-08-31,903.1511350059735,1154.9374
1991-09-30,601.0802469135803,799.8222
1991-10-31,535.020908,703.0928
1991-11-30,738.8117283950617,445.96573
1991-12-31,343.00328554360806,224.08414
1992-01-31,676.1499402628435,162.97757
1992-02-29,409.881864623244,175.7797
1992-03-31,363.98596176821997,219.9733
1992-04-30,388.8888888888889,370.3344
1992-05-31,554.0621266427718,447.77783
1992-06-30,689.0432098765432,829.8332
1992-07-31,658.9755077658302,1784.3535
1992-08-31,629.1069295101554,1197.7783
1992-09-30,393.13271604938274,1138.9761
1992-10-31,229.01732377538826,1100.9786
1992-11-30,498.84259259259267,484.75812
1992-12-31,630.9737157,218.34409
1993-01-31,538.0077658303464,189.79822
1993-02-28,646.9080687830688,195.31752
1993-03-31,507.1311230585424,254.23009
1993-04-30,491.89814814814815,468.56665
1993-05-31,611.1857825567503,658.9275
1993-06-30,778.1635802469136,1009.625
1993-07-31,710.1254480286739,1429.186
1993-08-31,769.8626045400239,1676.4768
1993-09-30,839.1203703703703,1205.9567
1993-10-31,607.0788530465951,814.36896
1993-11-30,591.0493827160494,490.35342
1993-12-31,573.8500597371565,229.79424
1994-01-31,648.8948626,187.20348
1994-02-28,663.0291005291006,196.72679
1994-03-31,729.9133811230586,233.38272
1994-04-30,628.0864197530864,477.4328
1994-05-31,906.1379928315412,626.6861
1994-06-30,785.1080246913581,1105.6937
1994-07-31,623.8799283154121,1088.4005
1994-08-31,788.9038231780168,669.95416
1994-09-30,704.8611111111111,750.365
1994-10-31,679.1367980884111,669.51373
1994-11-30,618.8271604938271,432.51163
1994-12-31,716.0991636798088,205.31276
1995-01-31,729.1666666666666,162.78351
1995-02-28,644.8412698412699,165.3648
1995-03-31,682.8703703703703,215.80362
1995-04-30,444.0586419753087,403.60266
1995-05-31,586.1708482676224,662.7766
1995-06-30,783.1790123,604.9735
1995-07-31,800.8512544802867,586.5791
1995-08-31,655.9886499402628,1015.1394
1995-09-30,594.1358024691358,1070.2507
1995-10-31,650.0149342891278,756.2378
1995-11-30,569.0586419753087,497.37067
1995-12-31,320.0044802867383,250.87335
1996-01-31,449.89545997610514,167.13611
1996-02-29,484.1155810983397,178.52032
1996-03-31,461.84289127837513,241.04036
1996-04-30,354.0123456790124,351.78787
1996-05-31,539.8745519713261,533.5092
1996-06-30,560.1851851851852,825.9938
1996-07-31,722.8195937873357,685.80365
1996-08-31,713.8590203106332,776.2944
