date,R-XGB
1974-11-30,637.1791
1974-12-31,287.36792
1975-01-31,191.92143
1975-02-28,191.15439
1975-03-31,238.56001
1975-04-30,311.0519
1975-05-31,684.9981
1975-06-30,1152.2062
1975-07-31,2423.6575
1975-08-31,1950.1875
1975-09-30,1732.9053
1975-10-31,2006.1746
1975-11-30,947.30035
1975-12-31,377.18686
1976-01-31,277.44977
1976-02-29,277.41003
1976-03-31,325.35236
1976-04-30,443.67044
1976-05-31,659.0965
1976-06-30,1182.5624
1976-07-31,1511.1439
1976-08-31,2064.5872
1976-09-30,2088.4937
1976-10-31,1121.339
1976-11-30,590.5274
1976-12-31,322.5047
1977-01-31,225.42741
1977-02-28,224.05872
1977-03-31,298.68607
1977-04-30,677.2811
1977-05-31,897.7753
1977-06-30,1001.92926
1977-07-31,846.4301
1977-08-31,758.93066
1977-09-30,694.8247
1977-10-31,574.7877
1977-11-30,354.6928
1977-12-31,193.04579
1978-01-31,155.72868
1978-02-28,155.91978
1978-03-31,195.01857
1978-04-30,485.09515
1978-05-31,601.482
1978-06-30,797.449
1978-07-31,644.58563
1978-08-31,1201.8297
1978-09-30,1840.5326
1978-10-31,1096.4717
1978-11-30,589.8684
1978-12-31,273.53043
1979-01-31,197.72603
1979-02-28,188.51566
1979-03-31,229.8433
1979-04-30,390.90448
1979-05-31,415.12457
1979-06-30,474.04883
1979-07-31,1102.4525
1979-08-31,1751.676
1979-09-30,1778.3903
1979-10-31,1052.6632
1979-11-30,485.3454
1979-12-31,257.15503
1980-01-31,186.1954
1980-02-29,186.65051
1980-03-31,244.52612
1980-04-30,337.26358
1980-05-31,369.243
1980-06-30,619.04205
1980-07-31,1370.2688
1980-08-31,993.99506
1980-09-30,1426.5646
1980-10-31,1180.9434
1980-11-30,530.30237
1980-12-31,244.35252
1981-01-31,185.1372
1981-02-28,189.94551
1981-03-31,219.15999
1981-04-30,341.5764
1981-05-31,583.4013
1981-06-30,1019.4135
1981-07-31,1666.3936
1981-08-31,1043.1155
1981-09-30,2658.6702
1981-10-31,1763.8988
1981-11-30,747.11444
1981-12-31,351.90826
1982-01-31,255.35367
1982-02-28,244.05331
1982-03-31,283.3967
1982-04-30,400.2447
1982-05-31,824.4269
1982-06-30,1485.3716
1982-07-31,1774.7051
1982-08-31,1067.9827
1982-09-30,1678.4756
1982-10-31,1668.8081
1982-11-30,741.7336
1982-12-31,340.87473
1983-01-31,236.40572
1983-02-28,230.7576
1983-03-31,238.81956
1983-04-30,451.04623
1983-05-31,860.5499
1983-06-30,1231.9409
1983-07-31,2568.338
1983-08-31,1871.376
1983-09-30,1178.752
