date,E-XGB
1993-04-30,417.7894
1993-05-31,695.98315
1993-06-30,1124.7484
1993-07-31,1766.2395
1993-08-31,1847.0057
1993-09-30,1522.124
1993-10-31,1005.4109
1993-11-30,628.25024
1993-12-31,314.4811
1994-01-31,214.20749
1994-02-28,226.73193
1994-03-31,252.98099
1994-04-30,341.4355
1994-05-31,677.69116
1994-06-30,786.8054
1994-07-31,1406.132
1994-08-31,1257.9695
1994-09-30,1124.1003
1994-10-31,1554.0013
1994-11-30,730.9251
1994-12-31,306.2467
1995-01-31,220.74579
1995-02-28,205.35085
1995-03-31,220.96506
1995-04-30,459.87033
1995-05-31,854.7834
1995-06-30,1068.0956
1995-07-31,1546.1904
1995-08-31,2117.872
1995-09-30,1507.276
1995-10-31,940.2124
1995-11-30,606.22253
1995-12-31,290.69785
1996-01-31,218.10284
1996-02-29,221.51833
1996-03-31,277.56897
1996-04-30,367.41223
1996-05-31,760.14087
1996-06-30,895.7849
1996-07-31,1589.3018
1996-08-31,1268.296
1996-09-30,1276.8141
1996-10-31,1018.46136
1996-11-30,640.042
1996-12-31,293.84106
1997-01-31,181.24876
1997-02-28,189.12036
1997-03-31,227.17795
1997-04-30,398.36642
1997-05-31,805.09576
1997-06-30,1379.0698
1997-07-31,1773.3998
1997-08-31,1379.2664
1997-09-30,1548.2994
1997-10-31,775.7722
1997-11-30,616.1308
1997-12-31,323.24313
1998-01-31,231.44453
1998-02-28,199.98367
1998-03-31,319.0672
1998-04-30,524.4282
1998-05-31,511.81805
1998-06-30,802.8871
1998-07-31,1632.149
1998-08-31,1661.0939
1998-09-30,1576.3456
1998-10-31,1095.8516
1998-11-30,669.5243
1998-12-31,390.23062
1999-01-31,201.50488
1999-02-28,218.01263
1999-03-31,341.79022
1999-04-30,387.29056
1999-05-31,686.66016
1999-06-30,1274.2549
1999-07-31,1794.814
1999-08-31,1505.1946
1999-09-30,1494.2698
1999-10-31,763.85254
1999-11-30,637.47473
1999-12-31,374.8395
2000-01-31,202.50687
2000-02-29,217.79337
2000-03-31,253.96524
2000-04-30,425.49768
2000-05-31,633.0339
2000-06-30,1042.4191
2000-07-31,1497.4907
2000-08-31,940.7208
2000-09-30,1203.1543
2000-10-31,1180.4557
2000-11-30,629.7079
2000-12-31,265.9892
2001-01-31,211.61826
2001-02-28,185.55804
2001-03-31,253.21611
2001-04-30,385.83118
2001-05-31,673.9279
2001-06-30,1184.2517
2001-07-31,1480.8114
2001-08-31,1086.6976
2001-09-30,1785.9679
2001-10-31,1356.4852
2001-11-30,609.3769
2001-12-31,292.9271
2002-01-31,228.12117
2002-02-28,202.09099
2002-03-31,277.30856
2002-04-30,381.68024
2002-05-31,647.31165
2002-06-30,1087.5404
2002-07-31,1592.6414
2002-08-31,1170.0665
2002-09-30,1327.6382
2002-10-31,1063.2483
2002-11-30,349.7068
2002-12-31,227.70871
2003-01-31,190.31555
2003-02-28,173.99788
2003-03-31,226.19463
2003-04-30,267.8369
2003-05-31,570.6986
2003-06-30,898.0659
2003-07-31,1390.9508
2003-08-31,1678.6273
2003-09-30,1544.61
2003-10-31,1237.8564
2003-11-30,716.4424
2003-12-31,467.74048
2004-01-31,207.70383
2004-02-29,189.21536
2004-03-31,260.14856
2004-04-30,331.61325
2004-05-31,540.61566
2004-06-30,898.3142
