date,flow_{t+1},R-CNN
1982-11-30,736.8827160493828,687.215
1982-12-31,340.0164277180406,327.03415
1983-01-31,234.99103942652332,256.42972
1983-02-28,217.01388888888889,240.1658
1983-03-31,233.0122461170848,269.34622
1983-04-30,442.9012345679012,437.48898
1983-05-31,868.0555555555555,840.49207
1983-06-30,1219.9074074074074,1271.0919
1983-07-31,2660.170250896057,2582.6177
1983-08-31,1879.8536439665472,1819.0941
1983-09-30,1130.0154320987654,1221.8108
1983-10-31,2019.862604540024,1957.9534
1983-11-30,935.1851851851852,871.17474
1983-12-31,377.83751493428906,382.3068
1984-01-31,261.01403823178015,279.8647
1984-02-29,264.0086206896552,250.63936
1984-03-31,298.9844683,286.36096
1984-04-30,412.80864197530866,357.531
1984-05-31,498.0585424133812,477.55978
1984-06-30,1010.0308641975308,1033.4761
1984-07-31,2430.1821983273594,2328.1492
1984-08-31,1500.1493428912784,1504.0156
1984-09-30,831.0185185185185,897.2623
1984-10-31,862.8285543608124,868.2344
1984-11-30,492.01388888888897,487.41138
1984-12-31,275.01493428912784,283.1737
1985-01-31,204.00238948626043,236.9884
1985-02-28,182.0023148148148,219.95619
1985-03-31,228.0092592592593,223.62001
1985-04-30,330.0154320987654,301.193
1985-05-31,426.0005973715651,444.9258
1985-06-30,652.0061728395061,675.7447
1985-07-31,1300.0298685782557,1217.1606
1985-08-31,971.1021505376344,1106.7521
1985-09-30,2380.0154320987654,2311.5696
1985-10-31,1189.889486260454,1243.2738
1985-11-30,516.9753086419753,530.3672
1985-12-31,272.9988052568698,308.26294
1986-01-31,206.0185185185185,225.32648
1986-02-28,196.01521164021165,232.89642
1986-03-31,229.01732377538826,263.60446
1986-04-30,328.0092592592593,372.917
1986-05-31,823.9994026284348,837.03864
1986-06-30,1099.9228395061727,1137.5222
1986-07-31,1580.047789725209,1761.2083
1986-08-31,717.9659498207885,790.6453
1986-09-30,996.9135802469137,1059.3887
1986-10-31,377.0908004778972,655.1318
1986-11-30,18.80015432098765,344.49207
1986-12-31,15.098566308243731,238.47385
1987-01-31,12.89949223416966,182.85648
1987-02-28,307.00231481481484,206.5179
1987-03-31,599.9850657108722,215.17471
1987-04-30,355.0154320987654,277.67487
1987-05-31,427.12066905615296,553.1573
1987-06-30,643.1327160493828,1151.0181
1987-07-31,809.0651135005974,1622.7972
1987-08-31,853.1212664277182,1114.9423
1987-09-30,333.9891975308642,742.5448
1987-10-31,234.99103942652332,582.04285
1987-11-30,226.00308641975306,332.48764
1987-12-31,375.97072879330943,237.22185
1988-01-31,321.0125448028674,187.33456
1988-02-29,415.07024265644964,187.81787
1988-03-31,484.99103942652323,229.38487
1988-04-30,339.0046296296297,328.43216
1988-05-31,449.14874551971326,448.4191
1988-06-30,493.0555555555555,794.07983
1988-07-31,700.0448028673835,848.6421
1988-08-31,554.0621266427718,610.9281
1988-09-30,581.0185185185185,830.1211
1988-10-31,604.8387096774194,1204.674
