index,CER-XGB,CER-LSTM,CER-BiLSTM,CER-CNN,CER-MLR,E_XGB,E_LSTM,E_BiLSTM,E_CNN,E_MLR,R_XGB,R_LSTM,R_BiLSTM,R_CNN,R_MLR
SPEARMAN_R,0.9999293244033364,0.9973263252875928,0.997826885197282,0.997521983884214,0.9974510597175664,0.9998584613304768,0.9491434392836589,0.9460014883195836,0.9899509744879572,0.9432526943455982,0.9996983632769793,0.997890800338845,0.9976100302526936,0.9958116016520838,0.9972702217946088
ACC,0.9946454202066118,0.9949601040076256,0.9954199341704832,0.994506369542889,0.9949954111145324,0.9944191336159606,0.8997327209392944,0.9146396801552322,0.9913141692458438,0.8791820670698866,0.9918120658249248,0.9952386742238843,0.995004185883024,0.994849618431617,0.994679946486368
MAPD,0.0065558691440029,0.0285522247332153,0.0223381005873606,0.0385299170710513,0.0269185626085806,0.0082813427208897,0.2172940839603289,0.2080376170680021,0.0758167045010517,0.2538525579769112,0.0132135555330028,0.0248376505349704,0.0375647821830927,0.0419835467107066,0.0308365819858216
MAAPE,0.0039209648955002,0.034837231072292,0.030106072305966,0.0529286884971234,0.033869195441838,0.0055877917129108,0.1874745166134657,0.1961782674484523,0.150856107660957,0.2644326914544567,0.0098495845867487,0.0324629085647103,0.042185203109863,0.0602830763875875,0.0405358752866055
SMAPE1,0.1971362393509518,1.7568816610866689,1.523568016306102,2.5500787181099955,1.7634882327493853,0.2786913887627478,9.63922774768356,10.266004838565175,6.831158570187929,14.449709512545114,0.4956033997077367,1.6839116188471597,2.176820554554145,3.20589438990147,2.083321509087153
SMAPE2,0.3942724787019036,3.5137633221733378,3.047136032612204,5.100157436219991,3.5269764654987705,0.5573827775254957,19.278455495367123,20.532009677130358,13.662317140375858,31.97147444136633,0.9912067994154736,3.36782323769432,4.35364110910829,6.41178877980294,4.166643018174306
D,0.9992676495953612,0.9992592719691774,0.9995906773745996,0.9989392538029824,0.999388590870282,0.9991516182358982,0.932686682546086,0.9502114986850536,0.9963570805988348,0.9339853873428816,0.9978084930297711,0.9994831575789724,0.9987623107234204,0.9988015646171112,0.9992298288137776
D1,0.9947550619751764,0.9770063003751732,0.982070499166868,0.9690925417525056,0.9784494263718132,0.9933753259821926,0.8109993369626312,0.8263377229429013,0.9373138494450688,0.7865545822642359,0.9894174962871972,0.980137017475597,0.9697140863463674,0.966636826674001,0.9752504449153626
DMOD,0.9947550619751764,0.9770063003751732,0.982070499166868,0.9690925417525056,0.9784494263718132,0.9933753259821926,0.8109993369626312,0.8263377229429013,0.9373138494450688,0.7865545822642359,0.9894174962871972,0.980137017475597,0.9697140863463674,0.966636826674001,0.9752504449153626
DREL,0.9999512587418188,0.9990612622160024,0.9991176643066484,0.9978226481458724,0.9985787130251718,0.9999058407175616,0.9663184389570334,0.9688905133245724,0.9729038926092358,0.9307553232669574,0.9998191527141308,0.9986367452819436,0.99857429752026,0.9972210043470576,0.9982909815432442
DR,0.9947603901285716,0.9771932846517803,0.982156952522051,0.9692233841936766,0.9785664155396656,0.9933813497316754,0.8264315875193358,0.8338253933441382,0.9394397454365776,0.7978729280241844,0.9894394054416534,0.9801603822132064,0.9699943068404396,0.9664647218181256,0.9754467393347944
WATT_M,0.9656204634993696,0.9654211492744226,0.9742924707464452,0.9586236147257476,0.9685829565810886,0.9629984926648638,0.6768941518550942,0.7204629782341386,0.923387168103602,0.6797919843478175,0.9405570223514994,0.971113698124018,0.9553090705870216,0.9560222251370613,0.9647408613014632
MB_R,0.9920809439376946,0.9652002435642744,0.9729132049158457,0.9533997932085004,0.9675288316815636,0.9899969391039428,0.7138832647786741,0.735132504581111,0.9059850630878868,0.685956438583051,0.9840248532679028,0.97004252480252,0.953871470709164,0.9491493705360342,0.962732525534762
NSE,0.9971073634634148,0.9970868347598651,0.9983744064841336,0.9957917245745528,0.9975588189190842,0.9966507471279136,0.794136959587143,0.8333125026804538,0.986159970884056,0.7788503132539725,0.9913955750105636,0.9979290505812104,0.9951963368430942,0.9952020476452198,0.996926364475158
NSE_MOD,0.989520780257143,0.9543865693035608,0.964313905044102,0.9384467683873532,0.957132831079331,0.9867626994633508,0.6528631750386716,0.6676507866882765,0.8788794908731553,0.5957458560483688,0.9788788108833067,0.960320764426413,0.9399886136808796,0.9329294436362516,0.9508934786695888
