date,flow_{t+1},R-CNN
1977-08-31,711.9922341696536,677.16187
1977-09-30,658.9506172839506,644.1818
1977-10-31,539.8745519713261,500.80402
1977-11-30,333.9891975308642,292.01575
1977-12-31,188.9934289127837,170.84142
1978-01-31,127.01612903225806,136.08981
1978-02-28,141.0094246031746,141.44067
1978-03-31,196.01254480286727,188.41618
1978-04-30,467.9783950617284,415.66705
1978-05-31,551.0752688172043,502.85852
1978-06-30,760.0308641975308,742.4489
1978-07-31,568.9964157706094,565.1678
1978-08-31,1070.041816009558,1107.8175
1978-09-30,1760.0308641975307,1792.9766
1978-10-31,1020.0119474313024,1022.48944
1978-11-30,523.9197530864197,486.29007
1978-12-31,256.0110513739546,238.93275
1979-01-31,193.99641577060933,142.22348
1979-02-28,178.98478835978835,151.03009
1979-03-31,220.99014336917563,173.4565
1979-04-30,390.81790123456796,337.0476
1979-05-31,402.8524492234169,384.43896
1979-06-30,466.04938271604937,474.10907
1979-07-31,1109.9910394265232,1136.6287
1979-08-31,1739.8446833930702,1693.0648
1979-09-30,1680.1697530864203,1681.082
1979-10-31,965.1284348864993,975.96277
1979-11-30,440.97222222222223,441.10223
1979-12-31,248.9919354838709,251.8774
1980-01-31,173.98446833930706,157.64691
1980-02-29,172.01468710089398,171.98491
1980-03-31,237.00716845878136,189.5969
1980-04-30,328.0092592592593,335.53455
1980-05-31,362.0071684587813,375.78494
1980-06-30,618.8271604938271,582.62634
1980-07-31,1350.0597371565111,1337.456
1980-08-31,949.0740740740739,902.60004
1980-09-30,1390.0462962962963,1431.6704
1980-10-31,1130.152329749104,1086.711
1980-11-30,494.98456790123464,482.81464
1980-12-31,221.99820788530468,238.89355
1981-01-31,173.01373954599762,159.10965
1981-02-28,173.98313492063488,158.7977
1981-03-31,223.00627240143373,149.65219
1981-04-30,341.0108024691358,325.02106
1981-05-31,583.9307048984468,520.2204
1981-06-30,1060.1851851851852,1019.8585
1981-07-31,1640.1583034647551,1579.5723
1981-08-31,1059.9611708482676,996.78754
1981-09-30,3469.9074074074074,3514.8296
1981-10-31,1680.1075268817203,1689.672
1981-11-30,714.891975308642,656.954
1981-12-31,352.00119474313027,355.19003
1982-01-31,251.00806451612902,268.9456
1982-02-28,250.9920634920635,254.83401
1982-03-31,285.9916367980884,265.94254
1982-04-30,395.8333333333333,382.3014
1982-05-31,850.1344086021505,814.0956
1982-06-30,1514.6604938271605,1485.7952
1982-07-31,1749.925328554361,1720.2399
1982-08-31,1059.9611708482676,1029.2549
1982-09-30,1650.0771604938273,1627.3441
1982-10-31,1649.8655913978494,1641.333
